"plotID","Doses","Dolomite","ID","Replicates","plantID","germination","numberLC","heightNode","heightLeaf","length1","circumference1","weight1","length2","circumference2","weight2","length3","circumference3","weight3","weightAll","Dolomite_bin","realizedG"
100,7,0,6,5,1,"y",9,72,119,23,24.5,110,NA,NA,NA,NA,NA,NA,110,0,1
100,7,0,6,5,10,"y",8,51,98,27,23.8,155,NA,NA,NA,NA,NA,NA,155,0,1
100,7,0,6,5,11,"y",7,58,105,24,23,125,NA,NA,NA,NA,NA,NA,125,0,1
100,7,0,6,5,12,"y",7,60,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
100,7,0,6,5,13,"y",8,51,108,19,24.6,105,NA,NA,NA,NA,NA,NA,105,0,1
100,7,0,6,5,14,"y",8,64,116,20,22.3,65,NA,NA,NA,NA,NA,NA,65,0,1
100,7,0,6,5,15,"y",9,77,118,19,22.7,75,NA,NA,NA,NA,NA,NA,75,0,1
100,7,0,6,5,16,"y",9,78,126,19,24.8,95,NA,NA,NA,NA,NA,NA,95,0,1
100,7,0,6,5,17,"y",9,64,110,22,23,85,NA,NA,NA,NA,NA,NA,85,0,1
100,7,0,6,5,18,"y",8,73,139,24,23.5,125,NA,NA,NA,NA,NA,NA,125,0,1
100,7,0,6,5,19,"y",8,62,113,19,22.4,65,NA,NA,NA,NA,NA,NA,65,0,1
100,7,0,6,5,2,"y",6,23,57,17,23.8,30,NA,NA,NA,NA,NA,NA,30,0,1
100,7,0,6,5,20,"y",8,55,109,24,23.1,115,NA,NA,NA,NA,NA,NA,115,0,1
100,7,0,6,5,21,"y",8,42,69,16,20.6,30,NA,NA,NA,NA,NA,NA,30,0,1
100,7,0,6,5,22,"y",7,61,118,17,22.5,40,NA,NA,NA,NA,NA,NA,40,0,1
100,7,0,6,5,23,"y",8,57,107,21,22.6,95,NA,NA,NA,NA,NA,NA,95,0,1
100,7,0,6,5,24,"y",9,67,112,22,22.7,95,NA,NA,NA,NA,NA,NA,95,0,1
100,7,0,6,5,25,"y",8,64,102,23,25,145,NA,NA,NA,NA,NA,NA,145,0,1
100,7,0,6,5,26,"y",6,29,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
100,7,0,6,5,27,"y",3,13,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
100,7,0,6,5,28,"y",8,72,106,21,23.4,115,NA,NA,NA,NA,NA,NA,115,0,1
100,7,0,6,5,29,"y",8,51,105,22,22.8,90,NA,NA,NA,NA,NA,NA,90,0,1
100,7,0,6,5,3,"y",8,50,95,18,24,80,NA,NA,NA,NA,NA,NA,80,0,1
100,7,0,6,5,30,"y",7,55,102,24,22.2,65,NA,NA,NA,NA,NA,NA,65,0,1
100,7,0,6,5,4,"y",9,66,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
100,7,0,6,5,5,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
100,7,0,6,5,6,"y",10,83,147,19,23.8,70,14,22.8,20,NA,NA,NA,90,0,1
100,7,0,6,5,7,"y",11,89,103,24,27.4,175,NA,NA,NA,NA,NA,NA,175,0,1
100,7,0,6,5,8,"y",7,44,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
100,7,0,6,5,9,"y",8,63,100,24,23.3,95,NA,NA,NA,NA,NA,NA,95,0,1
104,13,0,9,5,1,"y",8,69,129,24,26,175,NA,NA,NA,NA,NA,NA,175,0,1
104,13,0,9,5,10,"y",8,74,128,30,24.2,225,NA,NA,NA,NA,NA,NA,225,0,1
104,13,0,9,5,11,"y",10,101,147,22,25.3,155,NA,NA,NA,NA,NA,NA,155,0,1
104,13,0,9,5,12,"y",10,113,154,27,24,175,NA,NA,NA,NA,NA,NA,175,0,1
104,13,0,9,5,13,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
104,13,0,9,5,14,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
104,13,0,9,5,15,"y",9,85,138,17,21.5,45,NA,NA,NA,NA,NA,NA,45,0,1
104,13,0,9,5,16,"y",10,106,159,23,24.8,120,NA,NA,NA,NA,NA,NA,120,0,1
104,13,0,9,5,17,"y",11,99,145,26,23.3,170,NA,NA,NA,NA,NA,NA,170,0,1
104,13,0,9,5,18,"y",6,38,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
104,13,0,9,5,19,"y",9,81,140,21,24.5,135,NA,NA,NA,NA,NA,NA,135,0,1
104,13,0,9,5,2,"y",11,104,154,24,24,160,14,23,25,NA,NA,NA,185,0,1
104,13,0,9,5,20,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
104,13,0,9,5,21,"y",8,32,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
104,13,0,9,5,22,"y",9,85,127,21,24.5,75,NA,NA,NA,NA,NA,NA,75,0,1
104,13,0,9,5,23,"y",10,94,137,25,23.6,160,NA,NA,NA,NA,NA,NA,160,0,1
104,13,0,9,5,24,"y",8,83,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
104,13,0,9,5,25,"y",8,70,117,24,25,170,NA,NA,NA,NA,NA,NA,170,0,1
104,13,0,9,5,26,"y",9,80,144,23,24.5,140,NA,NA,NA,NA,NA,NA,140,0,1
104,13,0,9,5,27,"y",9,81,143,21,24.2,85,NA,NA,NA,NA,NA,NA,85,0,1
104,13,0,9,5,28,"y",9,91,147,21,25.5,150,NA,NA,NA,NA,NA,NA,150,0,1
104,13,0,9,5,29,"y",9,81,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
104,13,0,9,5,3,"y",10,123,153,28,26.8,240,23,24.5,120,NA,NA,NA,360,0,1
104,13,0,9,5,30,"y",9,66,113,29,25.2,210,NA,NA,NA,NA,NA,NA,210,0,1
104,13,0,9,5,4,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
104,13,0,9,5,5,"y",12,132,177,29,26,265,NA,NA,NA,NA,NA,NA,265,0,1
104,13,0,9,5,6,"y",10,104,154,24,24.6,155,NA,NA,NA,NA,NA,NA,155,0,1
104,13,0,9,5,7,"y",8,79,135,25,25,145,NA,NA,NA,NA,NA,NA,145,0,1
104,13,0,9,5,8,"y",10,84,134,29,25.8,260,NA,NA,NA,NA,NA,NA,260,0,1
104,13,0,9,5,9,"y",8,80,126,28,25.5,195,NA,NA,NA,NA,NA,NA,195,0,1
11,15,0,10,1,1,"y",9,83,158,26,23.5,145,NA,NA,NA,NA,NA,NA,145,0,1
11,15,0,10,1,10,"y",10,98,150,25,25.2,180,NA,NA,NA,NA,NA,NA,180,0,1
11,15,0,10,1,11,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
11,15,0,10,1,12,"y",9,65,120,22,25,135,NA,NA,NA,NA,NA,NA,135,0,1
11,15,0,10,1,13,"y",11,114,156,20,23.3,85,NA,NA,NA,NA,NA,NA,85,0,1
11,15,0,10,1,14,"y",9,101,158,25,25.4,175,NA,NA,NA,NA,NA,NA,175,0,1
11,15,0,10,1,15,"y",8,100,134,23,24.5,125,NA,NA,NA,NA,NA,NA,125,0,1
11,15,0,10,1,16,"y",9,100,142,24,23.6,125,NA,NA,NA,NA,NA,NA,125,0,1
11,15,0,10,1,17,"y",10,126,149,20,24.5,110,NA,NA,NA,NA,NA,NA,110,0,1
11,15,0,10,1,18,"y",8,95,146,24,25.5,165,NA,NA,NA,NA,NA,NA,165,0,1
11,15,0,10,1,19,"y",10,90,146,29,23.6,175,22,22,70,NA,NA,NA,245,0,1
11,15,0,10,1,2,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
11,15,0,10,1,20,"y",10,105,138,23,24.8,135,NA,NA,NA,NA,NA,NA,135,0,1
11,15,0,10,1,21,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
11,15,0,10,1,22,"y",10,73,100,24,23.8,130,NA,NA,NA,NA,NA,NA,130,0,1
11,15,0,10,1,23,"y",9,80,121,24,25.5,130,NA,NA,NA,NA,NA,NA,130,0,1
11,15,0,10,1,24,"y",7,30,63,15,18,15,NA,NA,NA,NA,NA,NA,15,0,1
11,15,0,10,1,25,"y",8,83,122,28,24.7,170,NA,NA,NA,NA,NA,NA,170,0,1
11,15,0,10,1,26,"y",10,80,126,20,25,105,NA,NA,NA,NA,NA,NA,105,0,1
11,15,0,10,1,27,"y",9,102,158,14,13.2,45,NA,NA,NA,NA,NA,NA,45,0,1
11,15,0,10,1,28,"y",11,107,158,28,24.8,225,NA,NA,NA,NA,NA,NA,225,0,1
11,15,0,10,1,29,"y",11,80,124,19,22.9,90,NA,NA,NA,NA,NA,NA,90,0,1
11,15,0,10,1,3,"y",9,96,142,26,24.8,220,NA,NA,NA,NA,NA,NA,220,0,1
11,15,0,10,1,30,"y",9,77,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
11,15,0,10,1,4,"y",10,93,132,22,22.5,65,NA,NA,NA,NA,NA,NA,65,0,1
11,15,0,10,1,5,"y",9,96,138,26,25.5,160,NA,NA,NA,NA,NA,NA,160,0,1
11,15,0,10,1,6,"y",10,78,125,21,23.6,90,NA,NA,NA,NA,NA,NA,90,0,1
11,15,0,10,1,7,"y",10,108,154,25,25.5,210,NA,NA,NA,NA,NA,NA,210,0,1
11,15,0,10,1,8,"y",10,90,142,24,24,135,NA,NA,NA,NA,NA,NA,135,0,1
11,15,0,10,1,9,"y",10,109,160,21,22.5,80,NA,NA,NA,NA,NA,NA,80,0,1
112,20,0,11,5,1,"y",10,84,103,26,23.5,160,NA,NA,NA,NA,NA,NA,160,0,1
112,20,0,11,5,10,"y",8,72,100,21,24.5,145,NA,NA,NA,NA,NA,NA,145,0,1
112,20,0,11,5,11,"y",7,93,132,24,25.6,195,NA,NA,NA,NA,NA,NA,195,0,1
112,20,0,11,5,12,"y",7,99,144,18,21.3,25,NA,NA,NA,NA,NA,NA,25,0,1
112,20,0,11,5,13,"y",8,101,139,27,25,215,18,21.2,45,19,18.5,30,290,0,1
112,20,0,11,5,14,"y",8,99,137,29,24.8,190,NA,NA,NA,NA,NA,NA,190,0,1
112,20,0,11,5,15,"y",7,30,55,23,27.5,195,NA,NA,NA,NA,NA,NA,195,0,1
112,20,0,11,5,16,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
112,20,0,11,5,17,"y",8,101,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
112,20,0,11,5,18,"y",6,29,54,26,24.6,175,NA,NA,NA,NA,NA,NA,175,0,1
112,20,0,11,5,19,"y",9,91,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
112,20,0,11,5,2,"y",8,70,106,21,26.7,135,NA,NA,NA,NA,NA,NA,150,0,1
112,20,0,11,5,20,"y",7,46,68,25,24.7,205,NA,NA,NA,NA,NA,NA,205,0,1
112,20,0,11,5,21,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
112,20,0,11,5,22,"y",9,102,132,25,25.5,205,NA,NA,NA,NA,NA,NA,205,0,1
112,20,0,11,5,23,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
112,20,0,11,5,24,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
112,20,0,11,5,25,"y",7,78,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
112,20,0,11,5,26,"y",8,66,105,26,23.5,130,NA,NA,NA,NA,NA,NA,130,0,1
112,20,0,11,5,27,"y",9,79,120,23,23.9,115,20,23,95,20,19.5,35,245,0,1
112,20,0,11,5,28,"y",8,97,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
112,20,0,11,5,29,"y",8,75,120,20,23.6,80,NA,NA,NA,NA,NA,NA,80,0,1
112,20,0,11,5,3,"y",9,84,112,24,24.2,135,NA,NA,NA,NA,NA,NA,135,0,1
112,20,0,11,5,30,"y",10,102,138,29,26.5,250,NA,NA,NA,NA,NA,NA,250,0,1
112,20,0,11,5,4,"y",10,95,124,27,25,205,20,21.3,55,NA,NA,NA,260,0,1
112,20,0,11,5,5,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
112,20,0,11,5,6,"y",9,87,123,31,26,260,NA,NA,NA,NA,NA,NA,260,0,1
112,20,0,11,5,7,"y",9,83,124,27,24.5,175,NA,NA,NA,NA,NA,NA,175,0,1
112,20,0,11,5,8,"y",8,85,104,20,23.5,85,NA,NA,NA,NA,NA,NA,85,0,1
112,20,0,11,5,9,"y",8,107,137,24,24.3,185,NA,NA,NA,NA,NA,NA,185,0,1
13,5,0,5,1,1,"y",9,64,120,18,23,60,NA,NA,NA,NA,NA,NA,60,0,1
13,5,0,5,1,10,"y",9,69,108,23,24.7,135,NA,NA,NA,NA,NA,NA,135,0,1
13,5,0,5,1,11,"y",9,82,100,22,25.4,145,NA,NA,NA,NA,NA,NA,145,0,1
13,5,0,5,1,12,"y",7,31,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
13,5,0,5,1,13,"y",8,58,115,23,23.1,105,NA,NA,NA,NA,NA,NA,105,0,1
13,5,0,5,1,14,"y",9,75,126,23,23.5,115,NA,NA,NA,NA,NA,NA,115,0,1
13,5,0,5,1,15,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
13,5,0,5,1,16,"y",8,69,116,20,27.7,55,NA,NA,NA,NA,NA,NA,55,0,1
13,5,0,5,1,17,"y",9,54,112,19,23,65,NA,NA,NA,NA,NA,NA,65,0,1
13,5,0,5,1,18,"y",8,39,74,16,21.7,35,NA,NA,NA,NA,NA,NA,35,0,1
13,5,0,5,1,19,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
13,5,0,5,1,2,"y",9,80,106,18,20.6,35,15,18.7,15,NA,NA,NA,50,0,1
13,5,0,5,1,20,"y",8,50,84,21,23.3,95,NA,NA,NA,NA,NA,NA,95,0,1
13,5,0,5,1,21,"y",8,45,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
13,5,0,5,1,22,"y",9,73,114,18,21.6,35,NA,NA,NA,NA,NA,NA,35,0,1
13,5,0,5,1,23,"y",7,46,85,18,20.5,30,NA,NA,NA,NA,NA,NA,30,0,1
13,5,0,5,1,24,"y",9,78,122,19,23.8,90,NA,NA,NA,NA,NA,NA,90,0,1
13,5,0,5,1,25,"y",7,51,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
13,5,0,5,1,26,"y",7,64,95,17,22.7,50,NA,NA,NA,NA,NA,NA,50,0,1
13,5,0,5,1,27,"y",8,50,95,18,22.5,50,NA,NA,NA,NA,NA,NA,50,0,1
13,5,0,5,1,28,"y",9,48,87,21,13.4,85,NA,NA,NA,NA,NA,NA,85,0,1
13,5,0,5,1,29,"y",8,43,86,20,21,45,NA,NA,NA,NA,NA,NA,45,0,1
13,5,0,5,1,3,"y",9,80,126,22,24.8,135,NA,NA,NA,NA,NA,NA,135,0,1
13,5,0,5,1,30,"y",8,54,82,16,20,15,NA,NA,NA,NA,NA,NA,15,0,1
13,5,0,5,1,4,"y",6,58,101,20,21.4,60,NA,NA,NA,NA,NA,NA,60,0,1
13,5,0,5,1,5,"y",8,68,109,17,22.4,35,NA,NA,NA,NA,NA,NA,35,0,1
13,5,0,5,1,6,"y",8,58,95,20,23.4,65,NA,NA,NA,NA,NA,NA,65,0,1
13,5,0,5,1,7,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
13,5,0,5,1,8,"y",8,58,83,20,22.1,60,NA,NA,NA,NA,NA,NA,60,0,1
13,5,0,5,1,9,"y",9,63,90,21,24.2,110,NA,NA,NA,NA,NA,NA,110,0,1
14,0.4,0,2,1,1,"y",7,47,82,22,23.3,115,NA,NA,NA,NA,NA,NA,115,0,1
14,0.4,0,2,1,10,"y",5,16,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
14,0.4,0,2,1,11,"y",6,23,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
14,0.4,0,2,1,12,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
14,0.4,0,2,1,13,"y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
14,0.4,0,2,1,14,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
14,0.4,0,2,1,15,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
14,0.4,0,2,1,16,"y",7,39,81,23,25.8,145,NA,NA,NA,NA,NA,NA,145,0,1
14,0.4,0,2,1,17,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
14,0.4,0,2,1,18,"y",6,38,82,21,22.5,90,NA,NA,NA,NA,NA,NA,90,0,1
14,0.4,0,2,1,19,"y",9,38,77,20,24.2,100,NA,NA,NA,NA,NA,NA,100,0,1
14,0.4,0,2,1,2,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
14,0.4,0,2,1,20,"y",4,10,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
14,0.4,0,2,1,21,"y",6,28,58,19,22.9,65,NA,NA,NA,NA,NA,NA,65,0,1
14,0.4,0,2,1,22,"y",6,25,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
14,0.4,0,2,1,23,"y",7,25,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
14,0.4,0,2,1,24,"y",8,38,60,20,23.5,90,NA,NA,NA,NA,NA,NA,90,0,1
14,0.4,0,2,1,25,"y",7,35,74,21,21.1,35,NA,NA,NA,NA,NA,NA,35,0,1
14,0.4,0,2,1,26,"y",7,41,72,21,23.7,30,NA,NA,NA,NA,NA,NA,30,0,1
14,0.4,0,2,1,27,"y",7,30,68,17,22.5,50,NA,NA,NA,NA,NA,NA,50,0,1
14,0.4,0,2,1,28,"y",6,34,58,15,22.5,25,NA,NA,NA,NA,NA,NA,25,0,1
14,0.4,0,2,1,29,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
14,0.4,0,2,1,3,"y",8,51,84,22,24.2,115,NA,NA,NA,NA,NA,NA,115,0,1
14,0.4,0,2,1,30,"y",5,18,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
14,0.4,0,2,1,4,"y",6,33,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
14,0.4,0,2,1,5,"y",7,31,57,18,23.2,60,NA,NA,NA,NA,NA,NA,60,0,1
14,0.4,0,2,1,6,"y",5,13,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
14,0.4,0,2,1,7,"y",7,25,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
14,0.4,0,2,1,8,"y",8,37,61,19,23,65,NA,NA,NA,NA,NA,NA,65,0,1
14,0.4,0,2,1,9,"y",3,8,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
16,13,0,9,1,1,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
16,13,0,9,1,10,"y",9,54,117,19,22.6,100,NA,NA,NA,NA,NA,NA,100,0,1
16,13,0,9,1,11,"y",9,77,134,22,23.7,105,NA,NA,NA,NA,NA,NA,105,0,1
16,13,0,9,1,12,"y",10,86,146,22,24.2,115,NA,NA,NA,NA,NA,NA,115,0,1
16,13,0,9,1,13,"y",10,90,124,23,25.5,160,NA,NA,NA,NA,NA,NA,160,0,1
16,13,0,9,1,14,"y",9,101,162,28,26.5,235,NA,NA,NA,NA,NA,NA,235,0,1
16,13,0,9,1,15,"y",5,24,55,23,25.5,165,NA,NA,NA,NA,NA,NA,165,0,1
16,13,0,9,1,16,"y",10,100,164,31,24.7,215,NA,NA,NA,NA,NA,NA,215,0,1
16,13,0,9,1,17,"y",9,94,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
16,13,0,9,1,18,"y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
16,13,0,9,1,19,"y",11,102,150,29,26.5,225,NA,NA,NA,NA,NA,NA,225,0,1
16,13,0,9,1,2,"y",9,79,130,24,25.3,195,NA,NA,NA,NA,NA,NA,195,0,1
16,13,0,9,1,20,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
16,13,0,9,1,21,"y",10,96,152,23,22.5,105,18,20.6,45,NA,NA,NA,150,0,1
16,13,0,9,1,22,"y",11,121,182,25,25.7,200,NA,NA,NA,NA,NA,NA,200,0,1
16,13,0,9,1,23,"y",8,72,115,23,24,125,NA,NA,NA,NA,NA,NA,125,0,1
16,13,0,9,1,24,"y",9,103,152,26,23.5,120,NA,NA,NA,NA,NA,NA,120,0,1
16,13,0,9,1,25,"y",9,72,125,24,23.7,120,NA,NA,NA,NA,NA,NA,120,0,1
16,13,0,9,1,26,"y",10,87,149,24,22.8,110,NA,NA,NA,NA,NA,NA,110,0,1
16,13,0,9,1,27,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
16,13,0,9,1,28,"y",9,67,114,27,23.7,150,NA,NA,NA,NA,NA,NA,150,0,1
16,13,0,9,1,29,"y",9,65,117,21,23.6,95,NA,NA,NA,NA,NA,NA,95,0,1
16,13,0,9,1,3,"y",9,66,114,21,25.2,125,NA,NA,NA,NA,NA,NA,125,0,1
16,13,0,9,1,30,"y",8,63,106,26,24.7,150,NA,NA,NA,NA,NA,NA,150,0,1
16,13,0,9,1,4,"y",9,67,121,20,24.3,95,NA,NA,NA,NA,NA,NA,95,0,1
16,13,0,9,1,5,"y",9,77,134,19,21.8,50,NA,NA,NA,NA,NA,NA,50,0,1
16,13,0,9,1,6,"y",8,52,93,26,25.6,190,NA,NA,NA,NA,NA,NA,190,0,1
16,13,0,9,1,7,"y",8,78,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
16,13,0,9,1,8,"y",10,78,127,24,24,140,NA,NA,NA,NA,NA,NA,140,0,1
16,13,0,9,1,9,"y",9,77,128,21,24.5,110,NA,NA,NA,NA,NA,NA,110,0,1
17,9,0,7,1,1,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
17,9,0,7,1,10,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
