"plotID","Doses","Dolomite","ID","Replicates","flooded","nGer0","nGerG","nGerW","nFruit","yield","m.heightL","m.heightN","m.nLC","m.weight","n_flower1","n_flower2","Dolomite_bin","Frass","nRealizedG","p.fruit"
2,20,0,11,1,"N",28,27,26,27,10.165,116.296296296296,76.0740740740741,8.25925925925926,0.156384615384615,21,22,0,2000,28,0.928571428571429
5,3,0,4,1,"N",25,25,20,20,3.2075,72.16,41.16,6.68,0.06415,0,23,0,300,25,0.8
9,11,0,8,1,"N",25,23,22,26,9.8475,127.217391304348,76.6086956521739,9.21739130434783,0.179045454545455,13,24,0,1100,25,0.88
11,15,0,10,1,"N",27,27,26,27,7.1375,136.666666666667,91.0740740740741,9.44444444444444,0.109807692307692,17,27,0,1500,27,0.962962962962963
13,5,0,5,1,"N",27,27,24,25,3.5725,99.4814814814815,59.5555555555556,8.18518518518519,0.0595416666666667,1,26,0,500,27,0.888888888888889
14,0.4,0,2,1,"N",24,23,13,13,1.975,57.4782608695652,29.695652173913,6.39130434782609,0.0607692307692308,0,6,0,40,24,0.541666666666667
16,13,0,9,1,"N",27,26,24,25,6.975,129.384615384615,78.7692307692308,9.07692307692308,0.11625,13,24,0,1300,27,0.888888888888889
17,9,0,7,1,"N",26,26,24,25,6.9875,130,80.2307692307692,8.84615384615385,0.116458333333333,12,26,0,900,26,0.923076923076923
18,0.8,0,3,1,"N",29,27,23,23,4,85.5555555555556,43.1851851851852,7.59259259259259,0.0695652173913043,0,21,0,80,29,0.793103448275862
23,30,0,12,1,"N",12,12,12,14,3.9625,113.583333333333,74.0833333333333,8.25,0.132083333333333,7,17,0,3000,12,1
25,0,0,1,2,"N",28,28,19,19,2.075,52.1071428571429,26.25,5.67857142857143,0.0436842105263158,0,7,0,0,28,0.678571428571429
27,3,0,4,2,"N",26,26,21,21,2.1,72.1538461538462,38.6538461538462,7.07692307692308,0.04,0,16,0,300,26,0.807692307692308
30,7,0,6,2,"N",25,25,24,25,4.27,104.88,61.28,7.68,0.0711666666666667,12,24,0,700,25,0.96
33,0.4,0,2,2,"N",27,26,7,7,0.2925,44.2307692307692,20.8076923076923,5.07692307692308,0.0167142857142857,0,2,0,40,27,0.259259259259259
35,15,0,10,2,"N",30,30,30,31,7.5125,111.5,76.9666666666667,8.2,0.100166666666667,15,31,0,1500,30,1
37,30,0,12,2,"N",27,27,26,35,8.8875,140.074074074074,81.5925925925926,8.77777777777778,0.136730769230769,22,32,0,3000,27,0.962962962962963
38,11,0,8,2,"N",29,27,11,11,0.4,38.5185185185185,18.4444444444444,5.77777777777778,0.0145454545454545,0,2,0,1100,29,0.379310344827586
39,9,0,7,2,"N",27,26,11,12,0.7375,45.3076923076923,22.2307692307692,5.65384615384615,0.0268181818181818,0,2,0,900,27,0.407407407407407
40,5,0,5,2,"N",29,29,22,22,2.5925,87.5172413793103,48.8275862068966,7.06896551724138,0.0471363636363636,2,26,0,500,29,0.758620689655172
41,0.8,0,3,2,"N",28,26,14,17,1.5875,52.9615384615385,27.3461538461538,5.76923076923077,0.0453571428571429,0,4,0,80,28,0.5
46,20,0,11,2,"N",29,29,29,31,8.65,136.655172413793,86,8.6551724137931,0.119310344827586,20,29,0,2000,29,1
48,13,0,9,2,"N",26,24,23,25,6.9,134.208333333333,84.0416666666667,8.79166666666667,0.12,19,24,0,1300,26,0.884615384615385
49,9,0,7,3,"N",30,30,24,24,3.825,116.533333333333,69.1666666666667,8.3,0.06375,13,29,0,900,30,0.8
50,0.4,0,2,3,"N",26,25,2,2,0.1375,37.16,18.36,5.64,0.0275,0,0,0,40,26,0.0769230769230769
51,0,0,1,3,"N",27,27,6,8,0.3875,35.6666666666667,16.8148148148148,5.77777777777778,0.0258333333333333,0,1,0,0,27,0.222222222222222
52,5,0,5,3,"N",28,28,24,24,3.2,88.3928571428571,48.6071428571429,7.42857142857143,0.0533333333333333,4,24,0,500,28,0.857142857142857
62,0.8,0,3,3,"N",26,25,11,11,0.75,49.56,20.48,6.32,0.0272727272727273,0,3,0,80,26,0.423076923076923
64,13,0,9,3,"N",26,25,9,9,0.525,37.04,17.8,5.72,0.0233333333333333,0,2,0,1300,26,0.346153846153846
65,20,0,11,3,"N",29,29,27,30,8.5125,139.931034482759,96.7241379310345,9.24137931034483,0.126111111111111,16,32,0,2000,29,0.931034482758621
66,30,0,12,3,"N",27,27,27,31,8.9875,143.814814814815,95.0740740740741,9.33333333333333,0.133148148148148,20,32,0,3000,27,1
67,11,0,8,3,"N",28,28,25,26,5.8625,134.25,81.6785714285714,8.75,0.0938,11,28,0,1100,28,0.892857142857143
72,15,0,10,3,"N",25,24,22,26,6.7625,106.958333333333,67.3333333333333,8.20833333333333,0.122954545454545,7,26,0,1500,25,0.88
76,7,0,6,4,"N",27,27,24,24,3.3625,109.333333333333,70.5925925925926,8.33333333333333,0.0560416666666667,9,26,0,700,27,0.888888888888889
77,0.8,0,3,4,"N",28,27,10,10,0.725,47.4074074074074,23.7777777777778,6.14814814814815,0.029,0,4,0,80,28,0.357142857142857
80,0.4,0,2,4,"N",28,25,10,10,0.6125,50.04,24.12,6.6,0.0245,0,1,0,40,28,0.357142857142857
83,3,0,4,4,"N",28,27,18,18,1.575,64.2962962962963,35.5555555555556,7.18518518518519,0.035,1,10,0,300,28,0.642857142857143
85,0,0,1,4,"N",30,29,12,12,1.5375,49.3793103448276,25.0689655172414,6.58620689655172,0.05125,0,2,0,0,30,0.4
86,5,0,5,4,"N",28,27,22,22,4.75,89.6666666666667,52.4814814814815,7.55555555555556,0.0863636363636364,6,27,0,500,28,0.785714285714286
92,20,0,11,4,"N",26,26,24,28,7.3,137.32,95.56,8.03846153846154,0.121666666666667,24,31,0,2000,26,0.923076923076923
98,15,0,10,5,"N",28,26,24,24,6.7,110.615384615385,73.0384615384615,7.69230769230769,0.111666666666667,13,23,0,1500,28,0.857142857142857
99,30,0,12,5,"N",26,26,23,27,7.55,131.961538461538,81.5384615384615,8.73076923076923,0.131304347826087,20,25,0,3000,26,0.884615384615385
100,7,0,6,5,"N",29,29,24,25,4.425,101.551724137931,58.4137931034483,7.89655172413793,0.07375,3,23,0,700,29,0.827586206896552
104,13,0,9,5,"N",26,26,22,24,7.725,134.923076923077,85.9615384615385,9.15384615384615,0.140454545454545,20,23,0,1300,26,0.846153846153846
112,20,0,11,5,"N",25,25,21,26,7.725,114.2,82.2,8.2,0.147142857142857,19,28,0,2000,25,0.84
